bbl,address,bldgtype,ess,gfa,numbldgs,eui,energy (kBtu),bin,primary_type,other_types_dict, electricity , natural_gas , steam , fuel_4 , fuel_2 , elec kbtu , gas kbtu , total kbtu , EUI 
2033980097,4295 Webster Ave,Multifamily Housing,39,57960,1,153.9,8920312.2,2019832,Multifamily Housing,," 989,148 "," 213,543 ",," 5,190,154 ",,,,,
2033980087,4315 Webster Ave,Multifamily Housing,38,61819,1,150.4,9297997.7,2019831,Multifamily Housing,," 902,955 "," 257,090 ",," 5,608,590 ",,,,,
2033680010,4320 Van Cortlandt Park E,Multifamily Housing,88,151932,1,76.4,11613296.8,2018858,Multifamily Housing,," 1,348,973 "," 336,287 ",,," 6,555,759 ",,,,
1013330018,2 Tudor City Place,Multifamily Housing,90,294543,1,141.9,41791827.1,1038646,Multifamily Housing,"{'Multifamily Housing': 294543.0, 'Parking': 42000.0}"," 4,889,001 "," 23,431,124 ",,,,,,,
2032550065,3363 Sedgwick Avenue,Multifamily Housing,64,112530,1,139.1,15655805.4,2015661,Multifamily Housing,"{'Multifamily Housing': 112530.0, 'Parking': 8470.0}"," 1,784,277 "," 8,784,093 ",,,,,,,
2032580013,3311 Giles Place,Multifamily Housing,89,84630,1,104.5,8845443,2015803,Multifamily Housing,"{'Multifamily Housing': 84630.0, 'Parking': 6370.0}"," 1,499,017 "," 294,730 ",," 3,438,446 ",,,,,
2033440086,3520 Tryon Avenue,Multifamily Housing,55,55552,1,138.5,7691295.5,2018283,Multifamily Housing,"{'Multifamily Housing': 55552.0, 'Parking': 2480.0}"," 807,223 "," 4,537,473 ",,,,,,,
2033530033,3176 Decatur Ave,Multifamily Housing,35,58993,1,129.6,7645612,2018546,Multifamily Housing,," 1,164,132 "," 3,837,103 ",,,,,,,
1022430317,70 Park Terrace East,Multifamily Housing,40,70252,1,126.9,8915093.9,1065027,Multifamily Housing,," 940,813 "," 217,167 ",," 5,550,336 ",,,,,
1012930016,598 Madison Avenue,Office,37,86957,1,267.4,23250712.5,1036060,Office,," 6,607,931 ",," 1,836,048 ",,,,,,
3020587501,365 Bridge Street,Multifamily Housing,15,366810,1,167.2,61313953.6,3392184,Multifamily Housing,"{'Multifamily Housing': 333581.0, 'Retail Store': 21140.0, 'Office': 12089.0, 'Parking': 18352.0}"," 14,015,677 "," 19,417,272 ",,,,,,,
1021420109,630 West 173rd Street,Multifamily Housing,,68997,1,204.2,14088666.3,1063496,Multifamily Housing,"{'Multifamily Housing': 65369.0, 'Other': 2015.0, 'Retail Store': 853.0, 'Supermarket/Grocery': 760.0}"," 2,198,576 "," 6,630,899 ",,,,,,,
1015220020,155 East 93 Street,Multifamily Housing,83,77426,1,105.3,8149472.3,1048388,Multifamily Housing,," 1,158,309 "," 3,918,063 ",,,,,,,
3052850001,50 ocean parkway,Multifamily Housing,,69444,1,94.6,6567181.5,3122828,Multifamily Housing,"{'Multifamily Housing': 65844.0, 'Office': 3600.0}"," 731,189 "," 3,727,411 ",,,,,,,
4157710011,"530 Briar Place,",Multifamily Housing,10,54809,2,177,9703164.5,4301157,Multifamily Housing,"{'Multifamily Housing': 54809.0, 'Parking': 1125.0}"," 632,121 "," 6,994,500 ",,,,,,,
1010070001,"841 7 Avenue,",Multifamily Housing,21,85309,1,167.3,14273577.1,1023382,Multifamily Housing,"{'Multifamily Housing': 79309.0, 'Retail Store': 6000.0}"," 2,538,989 "," 5,404,207 ",,,,,,,
4051460036,137-60 45 Avenue,Multifamily Housing,24,261919,3,121.7,31863861.7,4116427;4583514;4583516,Multifamily Housing,"{'Self-Storage Facility': 1019.0, 'Multifamily Housing': 260900.0, 'Parking': 11625.0}"," 3,667,645 "," 17,785,203 ",,,,,,,
4157530072,23-11 cornaga avenue,Multifamily Housing,35,78600,1,142.9,11235345.6,4300914,Multifamily Housing,"{'Multifamily Housing': 78600.0, 'Parking': 3125.0}"," 1,283,997 "," 6,625,600 ",,,,,,,
4096930019,148-28 88 avenue,Multifamily Housing,41,112816,1,141.8,15995715.4,4207096,Multifamily Housing,"{'Multifamily Housing': 112816.0, 'Parking': 5000.0}"," 1,754,508 "," 9,513,300 ",,,,,,,
3066120063,1685 East 5th Street,Multifamily Housing,,66186,1,111.8,7400109.6,3174962,Multifamily Housing,"{'Multifamily Housing': 63186.0, 'Office': 3000.0}"," 778,660 "," 4,398,159 ",,,,,,,
2031790052,2075 Walton Avenue,Multifamily Housing,60,62881,1,119.4,7506702.1,2013965,Multifamily Housing,," 907,936 "," 4,427,655 ",,,,,,,
2032910024,321 East 198th Street,Multifamily Housing,67,72486,1,108.2,7844856.3,2117126,Multifamily Housing,," 1,165,927 "," 4,007,368 ",,,,,,,
2032910016,323 East 198th Street,Multifamily Housing,49,69960,1,126.8,8871574.2,2113538,Multifamily Housing,," 1,230,763 "," 4,736,306 ",,,,,,,
2032910008,325 East 198th Street,Multifamily Housing,66,72486,1,109.4,7930920.3,2117347,Multifamily Housing,," 1,063,749 "," 4,320,132 ",,,,,,,
2030310021,2350 Webster Avenue,Multifamily Housing,40,79659,1,134.9,10745267.9,2115299,Multifamily Housing,"{'K-12 School': 8851.0, 'Multifamily Housing': 70808.0}"," 1,489,193 "," 5,808,400 ",,,,,,,
4014760001,88-02 37 avenue,Multifamily Housing,50,83844,1,149.4,12529428.9,4036294,Multifamily Housing,"{'Multifamily Housing': 76844.0, 'Retail Store': 7000.0}"," 1,231,068 "," 7,621,100 ",,,,,,,
4012900001,37-06 80 Street,Multifamily Housing,26,99000,2,163.3,16166831.9,4029968;4449493,Multifamily Housing,"{'Multifamily Housing': 91000.0, 'Retail Store': 8000.0}"," 2,187,247 "," 8,208,600 ",,,,,,,
